Country,intake_vegetables,intake_protein,intake_grains,intake_fruits,intake_dairy
Afghanistan,50.45,14.38,183.36,30.41,37
Albania,363.19,71.04,170.37,174.93,316.78
Algeria,284.17,32.6,227.27,100.78,72.76
Angola,293.62,46.14,102.31,70.83,7.1
Antigua and Barbuda,102.03,139.13,87.47,135.79,44.6
Argentina,134.49,149.56,136.26,81.08,161.12
Armenia,266.69,69.51,159.77,111.09,222.99
Australia,166.14,161.44,110.26,70.84,225.81
Austria,161.83,135.65,132.09,100.84,187.62
Azerbaijan,240.71,52.11,206.12,80.61,148.1
Bahamas,122.99,122.92,81.9,148.94,28.61
Bangladesh,107.72,34.45,281.55,27.95,17.52
Barbados,137.16,129.97,110.86,71.68,23.34
Belarus,348.88,122.47,116.39,72.52,78.46
Belgium,210.17,116.44,135.22,123.81,103.35
Belize,87.18,71.42,132.92,147.48,26.62
Benin,351.78,34.82,164.83,47.06,11.42
Bermuda,203.16,161.49,85.54,215.2,95.56
Bolivia,126.6,96.29,142.73,99.73,40.13
Bosnia and Herzegovina,356.94,58.11,180.85,113.32,193.02
Botswana,112.84,34.2,124.99,30.84,120.59
Brazil,156.45,124.25,155.99,99.65,141.79
Brunei,126.43,152.64,156.23,76.51,70.47
Bulgaria,140.41,82.82,143.74,58.36,141.65
Burkina Faso,45.49,25.59,236.35,4.89,18.74
Cabo Verde,139.67,49.83,168.12,47.96,43.12
Cambodia,78.37,57.31,263.44,18.89,3.18
Cameroon,310.87,31.21,160.44,110.23,8.96
Canada,222.42,139.68,127.51,96.91,164.77
CAR,304.32,48.28,35.12,52.22,16.06
Chad,74.88,21.23,185.09,7.49,14.6
Chile,147.02,117.22,149.77,55.46,80.71
China,436.91,139.19,207.72,99.87,23.13
Colombia,144.63,86.98,141.58,170.12,100.54
Congo,318.47,71.65,90.06,44.71,1.36
Costa Rica,111.15,85.49,130.69,129.62,152.67
Croatia,349.95,117.65,118.63,85.45,219.32
Cuba,253.25,80.83,165.66,148.97,83.12
Cyprus,126.45,113.81,159.27,71.95,95.93
Czechia,160.75,119,107.62,61.89,147.52
Denmark,165.43,149.92,124.75,62.84,244.23
Djibouti,115.85,24.84,174.91,26.65,20.65
Dominica,248.28,96.65,74.88,395.56,67.4
Dominican Republic,110.36,77.48,126.86,324.01,84.67
Ecuador,64.34,70.13,169.86,80.13,96.09
Egypt,241.57,64.31,264.19,104.54,35.43
El Salvador,125.13,52.18,160.49,68.24,93.33
Estonia,186.04,105.2,108.77,88.15,281.14
Eswatini,107.14,36.05,159.34,81.83,40.25
Ethiopia,111.83,9.55,174.6,7.84,28.2
Fiji,227.76,87.06,170.02,38.07,5.41
Finland,144.59,136.71,126.64,71.21,349.47
France,166.86,143.6,150.85,82.86,185
French Polynesia,123.69,159.38,151.89,60.42,34.05
Gabon,204.07,95.33,141,134.32,9.74
Gambia,37.21,37.12,194.43,5.34,23.94
Georgia,112.7,56.15,183.05,45.73,145.74
Germany,166.1,119.24,128.87,78.11,171.04
Ghana,494.7,42.79,107.02,200.41,2.04
Greece,243.09,108.71,173.84,117.84,238.4
Grenada,480.32,97.29,84.31,106,26.5
Guatemala,80.93,55.29,147.27,58.03,30.46
Guinea,203.58,26.77,220.14,90.84,15.69
Guinea-Bissau,99.92,20.68,172.25,52.25,17.52
Guyana,359.31,73.58,211.49,161.87,63.99
Haiti,156.27,26.9,123.4,98.8,6.73
Honduras,63.1,44.08,138.79,52.58,66.88
Hong Kong,135.97,245.22,141.29,74.26,23.92
Hungary,148.92,114.97,121.93,63.72,168.59
Iceland,123.56,216.15,98.88,91.24,206.38
India,159.1,14.66,187.46,60.92,107.17
Indonesia,128.25,63.76,282.28,66.08,4.73
Iran,301.7,60.36,211.8,132.49,22.64
Iraq,134.04,29.54,192.46,72.54,29.81
Ireland,172.91,123.96,134.36,72.4,358.16
Israel,223.39,142.29,161.61,100.54,178.61
Italy,192.14,130.87,178.81,121.56,191.76
Ivory Coast,352.62,36.7,157.44,67.92,1.12
Jamaica,181.4,93.74,137.34,109.03,71.43
Japan,136.04,119.87,154.53,34.12,47.59
Jordan,161.33,46.03,151.93,42.26,44.07
Kazakhstan,328.38,85.04,112.34,54.52,263.9
Kenya,155.83,22.38,147.03,55.29,75.24
Kiribati,143.88,109.12,232.46,73.67,1.28
Kuwait,233.03,110.99,167.65,71.03,39.69
Kyrgyzstan,286.35,40.85,171.24,40.72,196.15
Laos,318.36,55.72,290.38,147.55,2.74
Latvia,242.21,137.67,123.91,45.89,166.44
Lebanon,187.28,44.39,160.02,73.87,62.11
Lesotho,94.86,36.11,173.76,16.89,52.08
Liberia,168.2,30.93,130.77,40.7,2.44
Lithuania,180.6,146.42,153.83,52.02,113.36
Luxembourg,138.23,150.07,148.3,89.13,99.27
Macao,173.67,203.25,126.91,46.44,26.28
Madagascar,145.85,21.07,182.62,36.26,19.99
Malawi,257.19,28.01,147.3,174.47,3.12
Malaysia,112.08,130.85,185,41.89,5.02
Maldives,103.67,126.06,128.85,61.12,23.13
Mali,167.1,34.38,242.37,74.96,95.03
Malta,242.62,129,158.37,80.8,109.9
Mauritania,82.53,46.82,205.44,14.2,80.41
Mauritius,119.95,87.71,181.33,39.48,18.15
Mexico,118.88,111.49,162.12,116.91,92.39
Micronesia,167.95,109.23,247.11,84.55,10.93
Moldova,127.34,63.79,131.03,79.11,97.37
Mongolia,107.7,110.04,128.08,11.2,173.22
Montenegro,160.6,108.9,140.74,126.12,368.6
Morocco,170.37,67.19,271.33,100.09,24.54
Mozambique,321.99,24.3,104.13,26.89,5.14
Myanmar,137.14,108.39,233.25,43.39,20.16
N. Korea,201.19,30,182.48,59.28,2.94
Namibia,169.55,48.8,134.03,33.01,50.75
Nepal,292.77,23.09,243.2,46.69,56.56
Netherlands,148.86,119.01,103.5,99.7,276.14
New Caledonia,101.32,112.35,142.98,60.65,28.36
New Zealand,195.43,140.16,125.36,66.98,130.42
Nicaragua,76.36,42.23,169.23,40.38,73.23
Niger,199.21,12.79,236.81,25.41,38.91
Nigeria,375.66,20.29,145.28,54.56,1.27
North Macedonia,354.65,57.52,144.33,114.67,124.23
Norway,135.84,143.43,125.18,78.21,168.4
Oman,225.96,84.12,137.29,133.74,99.48
Pakistan,57.03,23.64,154.14,27.54,175.29
Panama,63.81,94.45,194.91,82.81,43.98
Paraguay,247.14,71.16,130.96,74.42,45.21
Peru,214.93,63.34,169.37,118.93,54.92
Philippines,88.39,76.91,240.26,98.08,0.86
Poland,227.28,122.3,150.24,71.72,169.75
Portugal,201.68,175.38,151.12,132.22,140.01
Romania,325.62,95.83,178.49,98.87,236.24
Russia,222.86,122.21,153.76,62.61,141.94
Rwanda,379.41,16.99,51,140.38,14.56
S. Korea,236.45,184.52,201.44,51.21,10.78
Saint Kitts and Nevis,80.78,123.21,82.94,62.25,39.17
Saint Lucia,77.98,137.78,106.71,74.29,29.53
Samoa,171.87,153.04,246.01,173.8,26.33
Sao Tome and Principe,83.45,45.99,202.88,213.5,9.41
Saudi Arabia,105.99,70.06,196.25,79.06,40.93
Senegal,109.57,37.67,237.74,19.19,8.22
Serbia,133.4,79.06,153.18,102.16,163.57
Sierra Leone,275.57,36.45,189.64,33.57,3.89
Singapore,96,106,91,72,45
Slovakia,129.6,91.09,110.08,53.46,166.99
Slovenia,142.83,106.85,155.59,128.49,138.58
Solomon Islands,347.35,44.42,183.05,43.46,4.24
South Africa,87.12,82.18,185.79,22.74,49.83
Spain,216.18,162.37,134.17,94.55,156.82
Sri Lanka,105.96,41.22,293.09,71.73,13.05
St. Vincent Grenadines,140.54,123.15,111.97,151.09,26.3
Sudan,121.13,27.51,165.79,61.84,92.59
Suriname,113.66,67.6,174.1,94.02,10.56
Sweden,146.14,137.82,124.77,59.48,171.79
Switzerland,154.2,103.38,118.62,83.82,283.21
Taiwan,157.66,128.95,148.55,95.6,22.65
Tajikistan,272.2,18.24,143.74,38.53,59.09
Tanzania,260.93,21.1,134.66,74.06,29.45
Thailand,132.29,73.68,208.12,88.35,15.52
Timor-Leste,84.27,44.68,216.22,15.34,5.69
Togo,236.02,26.14,153.76,8.12,4.36
Trinidad and Tobago,98.53,109.42,139.2,53.17,28.73
Tunisia,310.85,52.43,222.36,92.88,90.45
Turkey,308.32,57.41,226.72,127.61,176.9
Turkmenistan,180.74,66.89,209.73,54.99,124.74
UAE,155.44,114.76,177.05,86.81,38.13
Uganda,174.68,25.6,79.46,91.32,43.31
UK,172.02,113.61,136.28,77.47,207.61
Ukraine,324.31,80.68,159.69,52.57,143.63
Uruguay,123.33,79.64,176.28,79.99,175.28
USA,193.49,165.43,126.12,90.15,223.7
Uzbekistan,349.16,50.26,199.13,101.74,182.41
Vanuatu,215.36,75.92,239.92,69.03,14.9
Venezuela,95.09,54.23,133.67,95.45,101.36
Vietnam,207.01,119.18,276,80.16,7.71
Yemen,43.73,21.91,177.34,31.72,9.33
Zambia,99.72,36.22,154.17,7.36,8.44
Zimbabwe,47.44,25.27,126.62,18.15,22.74
