Country,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,"153,420","7,130","111,513","34,777",39953127
Albania,"149,117","2,508","135,321","11,288",2874109
Algeria,"197,308","5,373","134,390","57,545",44777440
Andorra,"15,055",130,"14,874",51,77410
Angola,"48,261","1,248","43,795","3,218",34059241
Anguilla,279,,208,71,15160
Antigua and Barbuda,"1,750",44,"1,349",357,98879
Argentina,"5,199,919","112,356","4,891,152","196,411",45681771
Armenia,"244,602","4,904","228,736","10,962",2969741
Aruba,"14,764",149,"14,049",566,107298
Australia,"59,968","1,036","34,413","24,519",25846449
Austria,"695,131","10,790","667,154","17,187",9066651
Azerbaijan,"436,257","5,760","377,287","53,210",10246274
Bahamas,"18,694",412,"14,893","3,389",397647
Bahrain,"272,807","1,388","270,459",960,1770540
Bangladesh,"1,512,026","26,493","1,446,003","39,530",166611847
Barbados,"5,183",51,"4,707",425,287788
Belarus,"488,963","3,826","480,994","4,143",9445676
Belgium,"1,192,008","25,397","1,103,638","62,973",11648775
Belize,"16,750",363,"15,161","1,226",406073
Benin,"16,946",135,"11,890","4,921",12494096
Bermuda,"3,048",34,"2,724",290,62008
Bhutan,"2,596",3,"2,577",16,781561
Bolivia,"491,759","18,486","437,636","35,637",11859466
Bosnia and Herzegovina,"216,124","9,862","192,218","14,044",3256854
Botswana,"159,317","2,276","151,895","5,146",2407154
Brazil,"20,856,060","582,753","19,820,202","453,105",214330637
British Virgin Islands,"2,640",37,"2,537",66,30467
Brunei,"3,219",14,"1,468","1,737",442388
Bulgaria,"460,691","19,051","407,851","33,789",6887010
Burkina Faso,"13,816",171,"13,545",100,21572607
Burundi,"12,585",38,773,"11,774",12304133
Cabo Verde,"35,739",315,"34,493",931,563061
Cambodia,"94,839","1,950","90,273","2,616",16989885
Cameroon,"84,210","1,357","80,433","2,420",27317886
Canada,"1,511,212","27,006","1,449,550","34,656",38129964
CAR,"11,296",100,"6,859","4,337",4928023
Caribbean Netherlands,"1,808",17,"1,754",37,26509
Cayman Islands,690,2,671,17,66626
Chad,"4,995",174,"4,816",5,16976125
Channel Islands,"10,738",95,"10,225",418,175741
Chile,"1,640,192","37,041","1,597,118","6,033",19308511
China,"94,982","4,636","89,438",908,"1,439,323,776"
Colombia,"4,914,881","125,158","4,744,394","45,329",51518272
Comoros,"4,083",147,"3,906",30,891259
Congo,"13,588",183,"12,421",984,5676782
Costa Rica,"472,315","5,568","377,597","89,150",5148629
Croatia,"377,299","8,362","364,485","4,452",4075537
Cuba,"672,599","5,538","634,872","32,189",11318503
Curaçao,"15,413",148,"14,900",365,164880
Cyprus,"114,604",512,"90,755","23,337",1217662
Czechia,"1,680,354","30,406","1,647,670","2,278",10732288
Denmark,"348,347","2,590","334,468","11,289",5816126
Djibouti,"11,768",157,"11,570",41,1004820
Dominica,"1,832",4,"1,210",618,72196
Dominican Republic,"351,200","4,009","342,022","5,169",10975369
DRC,"55,307","1,061","30,858","23,388",92739070
Ecuador,"502,146","32,296","443,880","25,970",17956662
Egypt,"289,353","16,766","240,976","31,611",104592162
El Salvador,"96,067","2,952","81,339","11,776",6524582
Equatorial Guinea,"9,760",128,"8,939",693,1456751
Eritrea,"6,646",38,"6,595",13,3603891
Estonia,"143,533","1,297","135,317","6,919",1327582
Eswatini,"44,014","1,132","36,882","6,000",1174238
Ethiopia,"312,348","4,731","280,421","27,196",118290702
Faeroe Islands,"1,002",2,995,5,49081
Falkland Islands,67,,63,4,3598
Fiji,"47,709",510,"30,345","16,854",904060
Finland,"129,192","1,030","46,000","82,162",5550818
France,"6,812,706","114,773","6,356,262","341,671",65442948
French Guiana,"35,721",221,"9,995","25,505",307725
French Polynesia,"40,178",480,"33,500","6,198",282812
Gabon,"26,079",167,"25,723",189,2287109
Gambia,"9,736",323,"9,345",68,2495939
Georgia,"562,627","7,732","509,181","45,714",3980179
Germany,"3,996,616","92,829","3,763,600","140,187",84098174
Ghana,"120,452","1,052","112,460","6,940",31831353
Gibraltar,"5,386",97,"5,198",91,33679
Greece,"596,383","13,737","545,484","37,162",10363275
Greenland,347,,306,41,56886
Grenada,"1,098",5,225,868,113134
Guadeloupe,"49,381",539,"2,250","46,592",400204
Guatemala,"484,263","12,155","419,636","52,472",18303258
Guinea,"29,742",346,"27,515","1,881",13548795
Guinea-Bissau,"5,869",120,"4,921",828,2022358
Guyana,"26,112",636,"23,433","2,043",791003
Haiti,"20,977",586,"18,294","2,097",11565333
Honduras,"343,807","9,023","107,551","227,233",10088983
Hong Kong,"12,114",212,"11,798",104,7568269
Hungary,"813,040","30,061","777,988","4,991",9631557
Iceland,"11,010",33,"10,220",757,343839
India,"32,980,467","440,461","32,123,711","416,295",1395901836
Indonesia,"4,123,617","135,469","3,827,449","160,699",276912184
Iran,"5,103,537","110,064","4,332,892","660,581",85251967
Iraq,"1,912,395","21,042","1,764,001","127,352",41277547
Ireland,"354,236","5,112","300,415","48,709",5002399
Isle of Man,"6,779",38,"6,445",296,85561
Israel,"1,104,971","7,129","1,009,009","88,833","9,326,000"
Italy,"4,559,970","129,410","4,293,535","137,025",60357480
Ivory Coast,"56,608",455,"54,292","1,861",27141454
Jamaica,"69,789","1,585","48,580","19,624",2976324
Japan,"1,541,528","16,247","1,319,378","205,903",126021949
Jordan,"799,825","10,454","777,634","11,737",10321816
Kazakhstan,"808,431","9,689","710,025","88,717",19039772
Kenya,"239,692","4,778","227,274","7,640",55155912
Kuwait,"410,167","2,422","405,583","2,162",4344508
Kyrgyzstan,"176,347","2,546","170,396","3,405",6650164
Laos,"15,761",16,"5,568","10,177",7399160
Latvia,"144,160","2,584","138,376","3,200",1861696
Lebanon,"605,521","8,079","557,817","39,625",6789558
Lesotho,"14,395",403,"6,830","7,162",2162154
Liberia,"5,459",148,"2,715","2,596",5196605
Libya,"313,504","4,308","225,676","83,520",6980700
Liechtenstein,"3,314",59,"3,189",66,38256
Lithuania,"302,014","4,598","283,305","14,111",2677645
Luxembourg,"76,102",830,"74,161","1,111",637897
Macao,63,,60,3,659700
Madagascar,"42,881",957,"41,308",616,28522595
Malawi,"60,728","2,203","48,644","9,881",19707380
Malaysia,"1,824,439","17,883","1,550,254","256,302",32851637
Maldives,"81,653",226,"79,448","1,979",551683
Mali,"14,919",540,"14,124",255,20931769
Malta,"36,426",442,"34,869","1,115",442922
Marshall Islands,4,,4,0,59658
Martinique,"37,192",442,104,"36,646",374924
Mauritania,"33,989",730,"31,178","2,081",4792409
Mauritius,"11,181",31,"1,854","9,296",1274244
Mayotte,"19,875",175,"2,964","16,736",280507
Mexico,"3,405,294","262,221","2,744,885","398,188",130519802
Micronesia,1,,1,0,116436
Moldova,"269,602","6,419","258,410","4,773",4022958
Monaco,"3,224",33,"3,115",76,39568
Mongolia,"228,685",957,"200,874","26,854",3340078
Montenegro,"117,632","1,753","107,636","8,243",628159
Montserrat,29,1,22,6,4996
Morocco,"876,732","12,923","813,670","50,139",37422999
Mozambique,"147,431","1,872","135,638","9,921",32277870
Myanmar,"409,509","15,693","358,074","35,742",54837408
Namibia,"125,494","3,407","119,796","2,291",2594740
Nepal,"768,295","10,818","725,651","31,826",29749926
Netherlands,"1,951,886","18,035","1,860,188","73,663",17179348
New Caledonia,136,,58,78,288714
New Zealand,"3,748",27,"2,971",750,"5,002,100"
Nicaragua,"11,735",200,"4,225","7,310",6716870
Niger,"5,869",199,"5,575",95,25228063
Nigeria,"194,088","2,495","179,679","11,914",212108984
North Macedonia,"178,879","6,013","157,868","14,998",2083274
Norway,"165,654",822,"88,952","75,880",5470928
Oman,"302,466","4,070","292,181","6,215",5258347
Pakistan,"1,175,558","26,114","1,057,941","91,503",225909002
Palestine,"351,809","3,720","322,055","26,034",5240012
Panama,"459,077","7,073","445,207","6,797",4394267
Papua New Guinea,"17,926",192,"17,547",187,9145271
Paraguay,"458,799","15,864","438,081","4,854",7235152
Peru,"2,153,092","198,420",1867751,86921,33509632
Philippines,"2,061,084","34,062","1,869,376","157,646",111288970
Poland,"2,890,161","75,379","2,657,330","157,452",37797963
Portugal,"1,044,144","17,772","983,063","43,309",10161808
Qatar,"233,437",602,"230,449","2,386","2,807,805"
Romania,"1,104,766","34,678","1,058,215","11,873",19086977
Russia,"6,993,954","186,407","6,255,475","552,072",146007887
Rwanda,"89,172","1,112","45,348","42,712",13327344
Réunion,"50,346",342,"47,752","2,252",902802
S. Korea,"258,913","2,315","230,405","26,193",51320955
Saint Helena,2,,2,0,6098
Saint Kitts and Nevis,"1,166",5,659,502,53640
Saint Lucia,"8,887",116,"6,454","2,317",184611
Saint Martin,"3,463",45,"1,399","2,019",39438
Saint Pierre Miquelon,31,,30,1,5761
Samoa,3,,3,0,199960
San Marino,"5,321",90,"5,150",81,34015
Sao Tome and Principe,"2,657",37,"2,449",171,223920
Saudi Arabia,"545,123","8,572","533,843","2,708",35448486
Senegal,"73,104","1,794","63,461","7,849",17259292
Serbia,"776,923","7,358","725,993","43,572",8696052
Seychelles,"20,144",105,"19,500",539,99061
Sierra Leone,"6,371",121,"4,361","1,889",8166682
Singapore,"68,469",55,"66,368","2,046",5904271
Sint Maarten,"3,797",56,"3,505",236,43446
Slovakia,"395,861","12,549","381,428","1,884",5462745
Slovenia,"269,990","4,455","258,850","6,685",2079273
Solomon Islands,20,,20,0,706565
Somalia,"17,630",992,"8,604","8,034",16410958
South Africa,"2,805,604","83,161","2,578,741","143,702",60184433
South Sudan,"11,473",120,"10,948",405,11347446
Spain,"4,877,755","84,795","4,418,343","374,617",46776028
Sri Lanka,"451,401","9,806","380,166","61,429",21518544
St. Barth,"1,534",2,462,"1,070",9912
St. Vincent Grenadines,"2,358",12,"2,305",41,111353
Sudan,"37,715","2,837","31,675","3,203",45045787
Suriname,"30,120",733,"24,761","4,626",592792
Sweden,"1,130,525","14,651","1,089,055","26,819",10173095
Switzerland,"788,813","11,010","710,815","66,988",8728813
Syria,"28,303","2,029","22,531","3,743",17997416
Taiwan,"16,013",837,"15,013",163,23867347
Tajikistan,"16,913",124,"16,776",13,9788051
Tanzania,"1,367",50,183,"1,134",61720630
Thailand,"1,265,082","12,631","1,097,317","155,134",70005434
Timor-Leste,"17,468",78,"13,129","4,261",1347818
Togo,"21,980",190,"17,226","4,564",8505483
Trinidad and Tobago,"45,300","1,318","39,996","3,986",1404804
Tunisia,"670,027","23,710","627,890","18,427",11963505
Turkey,"6,458,630","57,559","5,886,912","514,159",85402265
Turks and Caicos,"2,674",20,"2,569",85,39330
UAE,"722,292","2,045","711,134","9,113",10030364
Uganda,"120,466","3,041","95,607","21,818",47426450
UK,"6,904,969","133,041","5,561,928","1,210,000",68304162
Ukraine,"2,296,155","53,966","2,212,313","29,876",43425219
Uruguay,"385,423","6,034","378,088","1,301",3487850
USA,"40,703,674","664,935","31,265,847","8,772,892",333278410
Uzbekistan,"159,209","1,106","151,067","7,036",34037079
Vanuatu,4,1,3,0,315533
Vatican City,27,,27,0,803
Venezuela,"338,300","4,072","322,162","12,066",28341361
Vietnam,"511,170","12,793","282,516","215,861",98364930
Wallis and Futuna,445,7,438,0,11008
Western Sahara,10,1,8,1,614499
Yemen,"8,056","1,519","4,961","1,576",30593882
Zambia,"207,028","3,614","201,981","1,433",18985106
Zimbabwe,"125,331","4,457","114,639","6,235",15116224
